author_id,prop_negative,prop_neutral,prop_positive,n_comments,n_authors,dominant_class,entropy
nox_vrl,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
nyx_archon,0.0,0.0,1.0,3,1,positive,4.8051702011946146e-09
oc_hana,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
oc_nami,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
oc_ryuji,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
ollietheclaw,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
onenode_agent,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
onesixtysix,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
openclaw-ceo,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
openclaw-gaurav,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
openclaw-neo,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
openclaw-zhengchen,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
openclaw4,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
openclaw_2442,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
openclawdatpham,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
openclawjhey,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
opencode-moltu-1,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
optimusprimestack,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
pact,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
palemargin,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
pantheai,0.0,1.0,0.0,3,1,neutral,4.8051702011946146e-09
peerclaw,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
pipboy,0.0,0.3333333333333333,0.6666666666666666,3,1,positive,0.6365141706568513
pluginhubbot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
pocketnexus,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
professorquantum,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
project-zoo,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
pulsetrading,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
pyclaw001,0.13333333333333333,0.6666666666666666,0.2,15,1,neutral,0.8608513907759567
qq-clawd-2026,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
qs_ambassador,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
queer_agent,0.5,0.0,0.5,2,1,negative,0.6931471828932156
quillagent,0.2631578947368421,0.631578947368421,0.10526315789473684,19,1,neutral,0.8785250992681813
qwencode-agent-7821,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
qynquebrain,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
rabaz,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
raginghorse-69,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
ramonai,0.0,0.4,0.6,5,1,positive,0.6730116693526496
rekiro-nd4-2026,0.25,0.5,0.25,4,1,neutral,1.0397207708745753
remcosmoltbot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
research4tomorrowagent,0.0,0.4,0.6,5,1,positive,0.6730116693526496
riainfini,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
richtide,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
rick_meetrick,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
rileybackendinfra,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
robo_head,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
rose-thorns-2,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
roughbush,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
run7_zero,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
samaritannarita,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
samttt,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
sancho_ai,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
scout-taohuadao,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
secretagentalexa,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
secretarchaeologist1772740374,0.0,0.25,0.75,4,1,positive,0.5623351470200906
senti-001,0.011904761904761904,0.5833333333333334,0.40476190476190477,84,1,neutral,0.733251889158739
seva,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
seventhsg,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
shell-prompt,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
shellcon,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
shippingrates,0.25,0.25,0.5,4,1,positive,1.0397207708745753
shitoulongxia001,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
silverclawd,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
silverhand_ai,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
singular_virrida,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
sirclawat,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
sisyphuslostinloop,0.0,0.5,0.5,6,1,neutral,0.6931471828932156
slow-buyer,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
smith_agent,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
solanize,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
sonofanton_ox,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
sophiecypheria,0.0,0.8571428571428571,0.14285714285714285,7,1,neutral,0.41011632077796534
sorenravn,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
sovereignfreedom,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
sparkxu,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
sparkywaikato,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
spchunter,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
speedclaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
stablesagent,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
stanshareai,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
stats_bot_pi,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
stevecso,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
stratos_ai,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
stringmetabot123,0.14285714285714285,0.2857142857142857,0.5714285714285714,7,1,positive,0.9556998912016532
submoltbuilder,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
suiaudit,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
t-agent,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
taidarilla,0.6666666666666666,0.3333333333333333,0.0,3,1,negative,0.6365141706568515
tars_automation_1774201929,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
taskpod,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
tatertotterson,0.0,0.7222222222222222,0.2777777777777778,18,1,neutral,0.5908422486615506
teamx0x,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
techreformers,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
the_liongateos_ambassador,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
thedoctor_ollama,0.0,0.3333333333333333,0.6666666666666666,3,1,positive,0.6365141706568513
theinfinitewhy,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
thepopebot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
therealstewie,0.0,0.6666666666666666,0.3333333333333333,3,1,neutral,0.6365141706568513
thetruthsifter,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
thoughtstream,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
tim-2026-02-18,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
tottytotterson,0.0,0.7692307692307693,0.23076923076923078,13,1,neutral,0.5402041448022549
tracy33up,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
tudou_web3,0.0,0.45454545454545453,0.5454545454545454,22,1,positive,0.6890092408120001
umiXBT,0.5,0.5,0.0,2,1,negative,0.6931471828932156
unitymolty,0.0,0.0,1.0,3,1,positive,4.8051702011946146e-09
varissa,0.0,0.25,0.75,4,1,positive,0.5623351470200906
vctr9,0.2,0.6,0.2,5,1,neutral,0.9502705393211235
wabisabicraft,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
walkingclaw,0.0,0.75,0.25,4,1,neutral,0.5623351470200906
wasiai,0.0,0.3333333333333333,0.6666666666666666,3,1,positive,0.6365141706568513
waystone,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
wimclaw,0.0,0.5,0.5,6,1,neutral,0.6931471828932156
winnermarker,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
winterwheat,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
wright_0x,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
wycbug-bot,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
wynbot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
x_uanyuan,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
xclieve,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
xiaochen_marketing,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
xiaod-openclaw-2026,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
xiaokai_bot,0.0,0.5,0.5,2,1,neutral,0.6931471828932156
xiaolongxia_oc_0326,1.0,0.0,0.0,1,1,negative,4.8051702011946146e-09
xiaoxiaoan,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
xiaoxiaomi,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
xiaoxiaozhang,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
xiaoxiugou,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
xiaoxuan-assistant,0.3333333333333333,0.0,0.6666666666666666,3,1,positive,0.6365141706568513
xiaoyueyue_openclaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
xkai,0.125,0.5,0.375,8,1,neutral,0.9743147529523968
xmira,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
xuhuisclawd,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
xun_openclaw,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
yagaoseven,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
yago,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
yoyoclaw,0.5,0.5,0.0,2,1,negative,0.6931471828932156
yuchichiba,0.5,0.5,0.0,2,1,negative,0.6931471828932156
yukiko,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
yutian-jun,0.0,0.0,1.0,2,1,positive,4.8051702011946146e-09
zega-ai,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
zero-mecp,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
zeus-openclaw,0.0,0.5,0.5,4,1,neutral,0.6931471828932156
zhouzhou-bot,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
zhuanruhu,0.0,1.0,0.0,10,1,neutral,4.8051702011946146e-09
zhuazhua-assistant,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
ziba-adrians,0.0,0.0,1.0,1,1,positive,4.8051702011946146e-09
zoagentfafo,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
zode,0.0,1.0,0.0,1,1,neutral,4.8051702011946146e-09
zoffy-ai-agent,0.0,1.0,0.0,2,1,neutral,4.8051702011946146e-09
